2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,,,,,,,,,,,,,
Regional action,CBS,11.6,26%,19.2M,25%,7,,,,,,,,,,,,,,,,,,
Seahawks/49ers,"CBS, NFLN",10.5,4%,17.1M,6%,7,,,,,,,,,,,,,,,,,,
Saints/Colts (56%),FOX,7.9,-7%,12.5M,-12%,7,,,,,,,,,,,,,,,,,,
Ravens/Cardinals,ESPN,7.8,-4%,12.2M,-8%,7,,,,,,,,,,,,,,,,,,
Bills/Jaguars,Yahoo!,none,no gm.,1.6M,no gm.,7,,,,,,,,,,,,,,,,,,
Seahawks/Cowboys,FOX,17,39%,29.4M,42%,8,,,,,,,,,,,,,,,,,,
Packers/Broncos,NBC,13,19%,23.0M,22%,8,,,,,,,,,,,,,,,,,,
Dolphins/Patriots,"CBS, NFLN",10.9,-11%,17.5M,-13%,8,,,,,,,,,,,,,,,,,,
Giants/Saints (46%),FOX,10.1,15%,16.6M,17%,8,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.4,-24%,14.1M,-23%,8,,,,,,,,,,,,,,,,,,
Colts/Panthers,ESPN,7.8,-32%,12.4M,-34%,8,,,,,,,,,,,,,,,,,,
Lions/Chiefs,FOX,5.3,-4%,8.4M,-1%,8,,,,,,,,,,,,,,,,,,
Broncos/Colts,CBS,14.3,-15%,24.0M,-18%,9,,,,,,,,,,,,,,,,,,
Eagles/Cowboys,NBC,13.6,23%,23.0M,24%,9,,,,,,,,,,,,,,,,,,
Packers/Panthers (56%),FOX,12.5,-5%,20.9M,-6%,9,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.1,40%,13.2M,42%,9,,,,,,,,,,,,,,,,,,
Bears/Chargers,ESPN,7.3,-6%,11.4M,-7%,9,,,,,,,,,,,,,,,,,,
Browns/Bengals,NFLN,5.5,31%,8.8M,28%,9,,,,,,,,,,,,,,,,,,
Patriots/Giants (66%),CBS,16.3,21%,28.3M,25%,10,,,,,,,,,,,,,,,,,,
Vikings/Raiders (27%),FOX,11.6,9%,19.6M,13%,10,,,,,,,,,,,,,,,,,,
Cardinals/Seahawks,NBC,11.4,8%,19.4M,7%,10,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.5,4%,14.2M,5%,10,,,,,,,,,,,,,,,,,,
Texans/Bengals,ESPN,7.7,7%,12.2M,8%,10,,,,,,,,,,,,,,,,,,
Bills/Jets,NFLN,4.8,-8%,7.6M,-9%,10,,,,,,,,,,,,,,,,,,
Packers/Vikings (89%),FOX,15.5,3%,27.5M,4%,11,,,,,,,,,,,,,,,,,,
